dataset,meta,base,seed,qini,qini_ci_lo,qini_ci_hi,final_qini,auuc,t_importance,t_kind,mean_abs_uplift,degenerate,fit_time_s,predict_time_s,n_train,n_test
criteo,propensity,hgb,42,8561.313136231387,7945.819028701787,9086.067049716601,24514.117144785123,20818.371708623974,,n/a,0.04704970607775254,False,1.2046980419981992,0.5822603330016136,500000,2795919
criteo,propensity,xgb,42,8585.180715539884,7945.3968856916945,9123.94512182483,24514.117144785123,20842.239287932454,,n/a,0.04697638005018234,False,0.40935070799605455,0.2743770000015502,500000,2795919
criteo,propensity,lgbm,42,8596.468608340248,7955.360510572846,9118.437704872558,24514.117144785123,20853.527180732806,,n/a,0.04699363390101728,False,0.9742213749996154,0.4872324999960256,500000,2795919
criteo,propensity,rf,42,8584.3103454515,7964.04115849579,9095.635996578925,24514.117144785123,20841.368917844055,,n/a,0.046993247391364186,False,2.7294615419959882,0.8372331669961568,500000,2795919
criteo,propensity,lr,42,8147.98033799384,7534.466141467705,8663.916014972065,24514.117144785123,20405.0389103864,,n/a,0.0469760144671481,False,0.13159895800345112,0.09449599999788916,500000,2795919
criteo,s,hgb,42,8803.671447151382,8190.712180920173,9353.804236124237,24514.117144785123,21060.730019543968,0.03944444444444444,split_share,0.006375318688898169,False,1.0025246669974877,1.1677999579987954,500000,2795919
criteo,s,xgb,42,8924.213253109494,8272.547467533399,9468.808954645074,24514.117144785123,21181.27182550206,0.008185207843780518,gain,0.0069991485215723515,False,0.4140971669985447,0.5215679999964777,500000,2795919
criteo,s,lgbm,42,8614.179601709793,7827.989510662304,9157.889189657391,24514.117144785123,20871.238174102386,0.027,impurity,0.007471150802494893,False,0.9679809160006698,1.0074685829968075,500000,2795919
criteo,s,rf,42,8548.24639221817,7889.483028020979,9046.727725765079,24514.117144785123,20805.30496461073,0.002267358737309206,impurity,0.0036421340217564343,False,2.6024484589943313,1.626531582995085,500000,2795919
criteo,s,lr,42,8104.609043272292,7490.362287119303,8627.639001446938,24514.117144785123,20361.667615664857,0.02955679176765292,coef_abs_share,0.007004662183443613,False,0.14245770900015486,0.19125712499953806,500000,2795919
