model,train_size,fit_time_s,qini_coefficient,qini_ci_lo,qini_ci_hi,auuc
Propensity (baseline),full,10.334850072860718,1045.0133125848743,869.754603551277,1209.5237566739365,2513.3412614721788
Causal Forest,500k,72.5344409942627,929.066626200872,763.490706350066,1082.921073179556,2397.3945750881767
X-learner,full,64.61144590377808,857.5484713581998,687.285241422272,1048.3609051419844,2325.876420245504
T-learner,full,9.688915967941284,545.0009757215132,376.11577247472866,695.3125825113019,2013.3289246088175
S-learner,full,10.134016990661621,45.679191998207344,-37.60300551490924,166.88579295412768,1514.007140885512
Class Transformation,full,24.657541036605835,-350.1385541141883,-503.57672613584714,-192.1644128696345,1118.1893947731162
